['09:16:53', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:17:03', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:17:03', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:17:03', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:17:03', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:17:13', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:17:13', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:17:13', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:17:13', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:17:23', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:17:23', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:17:23', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:17:23', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:17:33', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:17:33', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:17:33', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:17:33', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:17:43', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:17:43', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:17:43', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:17:43', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:17:53', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:17:53', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:17:53', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:17:53', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:18:03', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:18:03', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:18:03', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:18:03', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:18:13', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
['09:18:13', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: connecting...']
['09:18:13', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: terminating... - connection refused']
['09:18:13', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: disconnected']
['09:18:23', 'pptp,ppp,info', 'to prorxredkom.4ait.ru: initializing...']
